"Nodo","Fecha","Hora","pml"
"05AEP-115","2024-12-07","8","494.09"
"05AEP-115","2024-12-07","9","463.41"
"05AEP-115","2024-12-07","10","401.92"
"05AEP-115","2024-12-07","11","263.18"
"05AEP-115","2024-12-07","12","264.92"
"05AEP-115","2024-12-07","13","96.98"
"05AEP-115","2024-12-07","14","-13.55"
"05AEP-115","2024-12-07","15","-15.55"
"05AEP-115","2024-12-07","16","1.06"
"05AEP-115","2024-12-07","17","398.75"
"05AEP-115","2024-12-07","18","643.88"
"05AEP-115","2024-12-07","19","943.16"
"05AEP-115","2024-12-07","20","986.08"
"05AEP-115","2024-12-07","21","986.86"
"05AEP-115","2024-12-07","22","858.32"
"05AEP-115","2024-12-07","23","760.21"
"05AEP-115","2024-12-07","24","467.83"
"06PRY-115","2024-12-01","1","453.56"
"06PRY-115","2024-12-01","2","433.44"
"06PRY-115","2024-12-01","3","425.29"
"06PRY-115","2024-12-01","4","420.1"
"06PRY-115","2024-12-01","5","419.86"
"06PRY-115","2024-12-01","6","419.76"
"06PRY-115","2024-12-01","7","427.55"
"06PRY-115","2024-12-01","8","418.62"
"06PRY-115","2024-12-01","9","412.41"
"06PRY-115","2024-12-01","10","374.33"
"06PRY-115","2024-12-01","11","421.13"
"06PRY-115","2024-12-01","12","424.13"
"06PRY-115","2024-12-01","13","427.14"
"06PRY-115","2024-12-01","14","425.56"
"06PRY-115","2024-12-01","15","426.18"
"06PRY-115","2024-12-01","16","423.3"
"06PRY-115","2024-12-01","17","426.35"
"06PRY-115","2024-12-01","18","456.06"
"06PRY-115","2024-12-01","19","481.37"
"06PRY-115","2024-12-01","20","497.99"
"06PRY-115","2024-12-01","21","469.88"
"06PRY-115","2024-12-01","22","466.4"
"06PRY-115","2024-12-01","23","483.23"
"06PRY-115","2024-12-01","24","461.52"
"06PRY-115","2024-12-02","1","425.6"
"06PRY-115","2024-12-02","2","425.04"
"06PRY-115","2024-12-02","3","397.6"
"06PRY-115","2024-12-02","4","392.72"
"06PRY-115","2024-12-02","5","397.74"
"06PRY-115","2024-12-02","6","415.46"
"06PRY-115","2024-12-02","7","457.41"
"06PRY-115","2024-12-02","8","474.29"
"06PRY-115","2024-12-02","9","443.03"
"06PRY-115","2024-12-02","10","457.17"
"06PRY-115","2024-12-02","11","459.93"
"06PRY-115","2024-12-02","12","475.55"
"06PRY-115","2024-12-02","13","492.73"
"06PRY-115","2024-12-02","14","507.74"
"06PRY-115","2024-12-02","15","505.15"
"06PRY-115","2024-12-02","16","506.47"
"06PRY-115","2024-12-02","17","553.78"
"06PRY-115","2024-12-02","18","748.35"
"06PRY-115","2024-12-02","19","584.45"
"06PRY-115","2024-12-02","20","941.24"
"06PRY-115","2024-12-02","21","688.93"
"06PRY-115","2024-12-02","22","989.8"
"06PRY-115","2024-12-02","23","564.93"
"06PRY-115","2024-12-02","24","524.43"
"06PRY-115","2024-12-03","1","507.25"
"06PRY-115","2024-12-03","2","475.75"
"06PRY-115","2024-12-03","3","451.08"
"06PRY-115","2024-12-03","4","445.74"
"06PRY-115","2024-12-03","5","441.31"
"06PRY-115","2024-12-03","6","454.08"
"06PRY-115","2024-12-03","7","483.77"
"06PRY-115","2024-12-03","8","496.72"
"06PRY-115","2024-12-03","9","476.89"
"06PRY-115","2024-12-03","10","463.22"
"06PRY-115","2024-12-03","11","444.5"
"06PRY-115","2024-12-03","12","444.78"
"06PRY-115","2024-12-03","13","435.5"
"06PRY-115","2024-12-03","14","462.85"
"06PRY-115","2024-12-03","15","462.31"
"06PRY-115","2024-12-03","16","486.23"
"06PRY-115","2024-12-03","17","564.04"
"06PRY-115","2024-12-03","18","626.43"
"06PRY-115","2024-12-03","19","988.02"
"06PRY-115","2024-12-03","20","719.24"
"06PRY-115","2024-12-03","21","708.2"
"06PRY-115","2024-12-03","22","619.9"
"06PRY-115","2024-12-03","23","588.25"
"06PRY-115","2024-12-03","24","509.57"
"06PRY-115","2024-12-04","1","540.88"
"06PRY-115","2024-12-04","2","513.08"
"06PRY-115","2024-12-04","3","524.63"
"06PRY-115","2024-12-04","4","526.79"
"06PRY-115","2024-12-04","5","518.86"
"06PRY-115","2024-12-04","6","529.92"
"06PRY-115","2024-12-04","7","581.64"
"06PRY-115","2024-12-04","8","695.24"
"06PRY-115","2024-12-04","9","577.07"
"06PRY-115","2024-12-04","10","536.27"
"06PRY-115","2024-12-04","11","521.7"
"06PRY-115","2024-12-04","12","522.11"
"06PRY-115","2024-12-04","13","564.84"
"06PRY-115","2024-12-04","14","562.92"
"06PRY-115","2024-12-04","15","552.71"
"06PRY-115","2024-12-04","16","640.01"
"06PRY-115","2024-12-04","17","654.58"
"06PRY-115","2024-12-04","18","706.15"
"06PRY-115","2024-12-04","19","693.73"
"06PRY-115","2024-12-04","20","686.79"
"06PRY-115","2024-12-04","21","1047.18"
"06PRY-115","2024-12-04","22","974.3"
"06PRY-115","2024-12-04","23","722.27"
"06PRY-115","2024-12-04","24","574.13"
"06PRY-115","2024-12-05","1","579.55"
